Iso8601Time,3579.feed_161522.tvoc_ch0
2023-10-25T04:57:47.081000-04:00,65
2023-10-25T04:57:48.081000-04:00,48
2023-10-25T04:57:49.080000-04:00,57
2023-10-25T04:57:50.080000-04:00,40
2023-10-25T04:57:51.081000-04:00,67
2023-10-25T04:57:52.081000-04:00,55
2023-10-25T04:57:53.080000-04:00,34
2023-10-25T04:57:54.081000-04:00,53
2023-10-25T04:57:55.080000-04:00,51
2023-10-25T04:57:56.080000-04:00,59
2023-10-25T04:57:57.080000-04:00,60
2023-10-25T04:57:58.080000-04:00,52
2023-10-25T04:57:59.081000-04:00,58
2023-10-25T04:58:00.080000-04:00,44
2023-10-25T04:58:01.081000-04:00,58
2023-10-25T04:58:02.080000-04:00,76
2023-10-25T04:58:03.083000-04:00,61
2023-10-25T04:58:04.080000-04:00,54
2023-10-25T04:58:05.080000-04:00,57
2023-10-25T04:58:06.080000-04:00,47
2023-10-25T04:58:07.080000-04:00,51
2023-10-25T04:58:08.081000-04:00,54
2023-10-25T04:58:09.080000-04:00,63
2023-10-25T04:58:10.080000-04:00,57
2023-10-25T04:58:11.080000-04:00,54
2023-10-25T04:58:12.080000-04:00,61
2023-10-25T04:58:13.080000-04:00,48
2023-10-25T04:58:14.082000-04:00,35
2023-10-25T04:58:15.080000-04:00,43
2023-10-25T04:58:16.081000-04:00,53
2023-10-25T04:58:17.081000-04:00,52
2023-10-25T04:58:18.080000-04:00,51
2023-10-25T04:58:19.080000-04:00,45
2023-10-25T04:58:20.081000-04:00,60
2023-10-25T04:58:21.080000-04:00,57
2023-10-25T04:58:22.080000-04:00,50
2023-10-25T04:58:23.082000-04:00,51
2023-10-25T04:58:24.080000-04:00,61
2023-10-25T04:58:25.080000-04:00,49
2023-10-25T04:58:26.080000-04:00,54
2023-10-25T04:58:27.080000-04:00,48
2023-10-25T04:58:28.080000-04:00,50
2023-10-25T04:58:29.081000-04:00,62
2023-10-25T04:58:30.080000-04:00,51
2023-10-25T04:58:31.080000-04:00,55
2023-10-25T04:58:32.080000-04:00,52
2023-10-25T04:58:33.080000-04:00,49
2023-10-25T04:58:34.080000-04:00,59
2023-10-25T04:58:35.080000-04:00,55
2023-10-25T04:58:36.080000-04:00,52
2023-10-25T04:58:37.080000-04:00,48
2023-10-25T04:58:38.081000-04:00,52
2023-10-25T04:58:39.081000-04:00,57
2023-10-25T04:58:40.080000-04:00,58
2023-10-25T04:58:41.080000-04:00,62
2023-10-25T04:58:42.080000-04:00,52
2023-10-25T04:58:43.080000-04:00,60
2023-10-25T04:58:44.081000-04:00,49
2023-10-25T04:58:45.083000-04:00,63
2023-10-25T04:58:46.080000-04:00,55
2023-10-25T04:58:47.080000-04:00,60
2023-10-25T04:58:48.080000-04:00,51
2023-10-25T04:58:49.081000-04:00,66
2023-10-25T04:58:50.081000-04:00,64
2023-10-25T04:58:51.083000-04:00,54
2023-10-25T04:58:52.081000-04:00,55
2023-10-25T04:58:53.080000-04:00,51
2023-10-25T04:58:54.082000-04:00,66
2023-10-25T04:58:55.080000-04:00,59
2023-10-25T04:58:56.080000-04:00,55
2023-10-25T04:58:57.080000-04:00,50
2023-10-25T04:58:58.080000-04:00,55
2023-10-25T04:58:59.081000-04:00,54
2023-10-25T04:59:00.080000-04:00,50
2023-10-25T04:59:01.080000-04:00,56
2023-10-25T04:59:02.080000-04:00,58
2023-10-25T04:59:03.081000-04:00,57
2023-10-25T04:59:04.080000-04:00,84
2023-10-25T04:59:05.080000-04:00,58
2023-10-25T04:59:06.081000-04:00,52
2023-10-25T04:59:07.080000-04:00,56
2023-10-25T04:59:08.082000-04:00,63
2023-10-25T04:59:09.081000-04:00,65
2023-10-25T04:59:10.080000-04:00,57
2023-10-25T04:59:11.081000-04:00,64
2023-10-25T04:59:12.080000-04:00,69
2023-10-25T04:59:13.080000-04:00,71
2023-10-25T04:59:14.081000-04:00,61
2023-10-25T04:59:15.080000-04:00,69
2023-10-25T04:59:16.080000-04:00,54
2023-10-25T04:59:17.080000-04:00,65
2023-10-25T04:59:18.081000-04:00,71
2023-10-25T04:59:19.080000-04:00,61
2023-10-25T04:59:20.080000-04:00,60
